,INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,FLAG,ALL,Youth(<15-34),Adult(35-64),Elderly(65-80+),Gender,Ethnicity,Race,Age Group,any_opioid,natural_semisynthetic_opioids,methadone,other_synthetic_opioids,heroin
41,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2001,3,All ages,1,4.6,,1,0,0,0,Female,,,,0,0,0,0,0
42,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2002,4,All ages,1,5.8,,1,0,0,0,Female,,,,0,0,0,0,0
43,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2003,5,All ages,1,6.4,,1,0,0,0,Female,,,,0,0,0,0,0
44,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2004,6,All ages,1,6.9,,1,0,0,0,Female,,,,0,0,0,0,0
45,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2005,7,All ages,1,7.3,,1,0,0,0,Female,,,,0,0,0,0,0
46,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2006,8,All ages,1,8.2,,1,0,0,0,Female,,,,0,0,0,0,0
47,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2007,9,All ages,1,8.8,,1,0,0,0,Female,,,,0,0,0,0,0
48,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2008,10,All ages,1,8.9,,1,0,0,0,Female,,,,0,0,0,0,0
49,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2009,11,All ages,1,9.1,,1,0,0,0,Female,,,,0,0,0,0,0
50,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2010,12,All ages,1,9.6,,1,0,0,0,Female,,,,0,0,0,0,0
51,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2011,13,All ages,1,10.2,,1,0,0,0,Female,,,,0,0,0,0,0
52,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2012,14,All ages,1,10.2,,1,0,0,0,Female,,,,0,0,0,0,0
53,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2013,15,All ages,1,10.6,,1,0,0,0,Female,,,,0,0,0,0,0
54,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2014,16,All ages,1,11.1,,1,0,0,0,Female,,,,0,0,0,0,0
55,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2015,17,All ages,1,11.8,,1,0,0,0,Female,,,,0,0,0,0,0
56,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2016,18,All ages,1,13.4,,1,0,0,0,Female,,,,0,0,0,0,0
57,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2017,19,All ages,1,14.4,,1,0,0,0,Female,,,,0,0,0,0,0
58,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,1999,1,All ages,1,8.1,,1,0,0,0,Male,,White,,0,0,0,0,0
59,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2000,2,All ages,1,8.4,,1,0,0,0,Male,,White,,0,0,0,0,0
60,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2001,3,All ages,1,9.2,,1,0,0,0,Male,,White,,0,0,0,0,0
61,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2002,4,All ages,1,11.1,,1,0,0,0,Male,,White,,0,0,0,0,0
62,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2003,5,All ages,1,12.2,,1,0,0,0,Male,,White,,0,0,0,0,0
63,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2004,6,All ages,1,12.6,,1,0,0,0,Male,,White,,0,0,0,0,0
64,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2005,7,All ages,1,13.6,,1,0,0,0,Male,,White,,0,0,0,0,0
65,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2006,8,All ages,1,15.7,,1,0,0,0,Male,,White,,0,0,0,0,0
66,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2007,9,All ages,1,16.3,,1,0,0,0,Male,,White,,0,0,0,0,0
67,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2008,10,All ages,1,16.5,,1,0,0,0,Male,,White,,0,0,0,0,0
68,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2009,11,All ages,1,16.4,,1,0,0,0,Male,,White,,0,0,0,0,0
69,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2010,12,All ages,1,16.8,,1,0,0,0,Male,,White,,0,0,0,0,0
70,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2011,13,All ages,1,18.1,,1,0,0,0,Male,,White,,0,0,0,0,0
71,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2012,14,All ages,1,18.1,,1,0,0,0,Male,,White,,0,0,0,0,0
72,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2013,15,All ages,1,19.0,,1,0,0,0,Male,,White,,0,0,0,0,0
73,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2014,16,All ages,1,20.4,,1,0,0,0,Male,,White,,0,0,0,0,0
74,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2015,17,All ages,1,23.2,,1,0,0,0,Male,,White,,0,0,0,0,0
75,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2016,18,All ages,1,28.8,,1,0,0,0,Male,,White,,0,0,0,0,0
76,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2017,19,All ages,1,31.6,,1,0,0,0,Male,,White,,0,0,0,0,0
77,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.1,2018,20,All ages,1,29.9,,1,0,0,0,Male,,White,,0,0,0,0,0
78,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,1999,1,All ages,1,11.5,,1,0,0,0,Male,,Black,,0,0,0,0,0
79,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2000,2,All ages,1,10.8,,1,0,0,0,Male,,Black,,0,0,0,0,0
80,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2001,3,All ages,1,11.0,,1,0,0,0,Male,,Black,,0,0,0,0,0
81,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2002,4,All ages,1,11.5,,1,0,0,0,Male,,Black,,0,0,0,0,0
82,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2003,5,All ages,1,11.3,,1,0,0,0,Male,,Black,,0,0,0,0,0
83,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2004,6,All ages,1,11.1,,1,0,0,0,Male,,Black,,0,0,0,0,0
84,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2005,7,All ages,1,12.8,,1,0,0,0,Male,,Black,,0,0,0,0,0
85,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2006,8,All ages,1,15.2,,1,0,0,0,Male,,Black,,0,0,0,0,0
86,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2007,9,All ages,1,13.0,,1,0,0,0,Male,,Black,,0,0,0,0,0
87,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2008,10,All ages,1,11.3,,1,0,0,0,Male,,Black,,0,0,0,0,0
88,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2009,11,All ages,1,10.8,,1,0,0,0,Male,,Black,,0,0,0,0,0
89,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2010,12,All ages,1,10.1,,1,0,0,0,Male,,Black,,0,0,0,0,0
90,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2011,13,All ages,1,11.0,,1,0,0,0,Male,,Black,,0,0,0,0,0
91,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2012,14,All ages,1,11.3,,1,0,0,0,Male,,Black,,0,0,0,0,0
92,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2013,15,All ages,1,12.9,,1,0,0,0,Male,,Black,,0,0,0,0,0
93,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2014,16,All ages,1,13.8,,1,0,0,0,Male,,Black,,0,0,0,0,0
94,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2015,17,All ages,1,16.8,,1,0,0,0,Male,,Black,,0,0,0,0,0
95,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2016,18,All ages,1,24.0,,1,0,0,0,Male,,Black,,0,0,0,0,0
96,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2017,19,All ages,1,29.7,,1,0,0,0,Male,,Black,,0,0,0,0,0
97,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.2,2018,20,All ages,1,30.9,,1,0,0,0,Male,,Black,,0,0,0,0,0
98,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,1999,1,All ages,1,5.7,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
99,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2000,2,All ages,1,6.1,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
100,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2001,3,All ages,1,5.9,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
101,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2002,4,All ages,1,8.2,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
102,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2003,5,All ages,1,9.4,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
103,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2004,6,All ages,1,11.2,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
104,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2005,7,All ages,1,10.8,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
105,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2006,8,All ages,1,13.0,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
106,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2007,9,All ages,1,10.5,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
107,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2008,10,All ages,1,13.5,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
108,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2009,11,All ages,1,14.2,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
109,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2010,12,All ages,1,11.8,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
110,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2011,13,All ages,1,12.9,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
111,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2012,14,All ages,1,12.8,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
112,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2013,15,All ages,1,12.9,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
113,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2014,16,All ages,1,15.9,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
114,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2015,17,All ages,1,16.0,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
115,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2016,18,All ages,1,17.7,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
116,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2017,19,All ages,1,19.7,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
117,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: American Indian or Alaska Native,4.3,2018,20,All ages,1,21.3,,1,0,0,0,Male,,American Indian or Alaska Native,,0,0,0,0,0
118,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,1999,1,All ages,1,1.5,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
119,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,2000,2,All ages,1,1.4,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
120,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,2001,3,All ages,1,1.6,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
121,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,2002,4,All ages,1,1.9,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
122,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,2003,5,All ages,1,1.7,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
123,Drug overdose death rates,All drug overdose deaths,0,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Asian or Pacific Islander,4.4,2004,6,All ages,1,2.1,,1,0,0,0,Male,,Asian or Pacific Islander,,0,0,0,0,0
